[0.053s][info][class,load] opened: C:\Users\andre\.jdks\temurin-11.0.20.1\lib\modules
[0.215s][info][class,load] java.lang.Object source: jrt:/java.base
[0.216s][info][class,load] java.io.Serializable source: jrt:/java.base
[0.216s][info][class,load] java.lang.Comparable source: jrt:/java.base
[0.216s][info][class,load] java.lang.CharSequence source: jrt:/java.base
[0.217s][info][class,load] java.lang.String source: jrt:/java.base
[0.218s][info][class,load] java.lang.reflect.AnnotatedElement source: jrt:/java.base
[0.218s][info][class,load] java.lang.reflect.GenericDeclaration source: jrt:/java.base
[0.218s][info][class,load] java.lang.reflect.Type source: jrt:/java.base
[0.219s][info][class,load] java.lang.Class source: jrt:/java.base
[0.219s][info][class,load] java.lang.Cloneable source: jrt:/java.base
[0.219s][info][class,load] java.lang.ClassLoader source: jrt:/java.base
[0.219s][info][class,load] java.lang.System source: jrt:/java.base
[0.219s][info][class,load] java.lang.Throwable source: jrt:/java.base
[0.219s][info][class,load] java.lang.Error source: jrt:/java.base
[0.219s][info][class,load] java.lang.ThreadDeath source: jrt:/java.base
[0.219s][info][class,load] java.lang.Exception source: jrt:/java.base
[0.219s][info][class,load] java.lang.RuntimeException source: jrt:/java.base
[0.220s][info][class,load] java.lang.SecurityManager source: jrt:/java.base
[0.220s][info][class,load] java.security.ProtectionDomain source: jrt:/java.base
[0.220s][info][class,load] java.security.AccessControlContext source: jrt:/java.base
[0.220s][info][class,load] java.security.SecureClassLoader source: jrt:/java.base
[0.220s][info][class,load] java.lang.ReflectiveOperationException source: jrt:/java.base
[0.220s][info][class,load] java.lang.ClassNotFoundException source: jrt:/java.base
[0.220s][info][class,load] java.lang.LinkageError source: jrt:/java.base
[0.220s][info][class,load] java.lang.NoClassDefFoundError source: jrt:/java.base
[0.220s][info][class,load] java.lang.ClassCastException source: jrt:/java.base
[0.220s][info][class,load] java.lang.ArrayStoreException source: jrt:/java.base
[0.220s][info][class,load] java.lang.VirtualMachineError source: jrt:/java.base
[0.220s][info][class,load] java.lang.OutOfMemoryError source: jrt:/java.base
[0.220s][info][class,load] java.lang.StackOverflowError source: jrt:/java.base
[0.220s][info][class,load] java.lang.IllegalMonitorStateException source: jrt:/java.base
[0.220s][info][class,load] java.lang.ref.Reference source: jrt:/java.base
[0.220s][info][class,load] java.lang.ref.SoftReference source: jrt:/java.base
[0.220s][info][class,load] java.lang.ref.WeakReference source: jrt:/java.base
[0.220s][info][class,load] java.lang.ref.FinalReference source: jrt:/java.base
[0.220s][info][class,load] java.lang.ref.PhantomReference source: jrt:/java.base
[0.221s][info][class,load] java.lang.ref.Finalizer source: jrt:/java.base
[0.221s][info][class,load] java.lang.Runnable source: jrt:/java.base
[0.221s][info][class,load] java.lang.Thread source: jrt:/java.base
[0.221s][info][class,load] java.lang.Thread$UncaughtExceptionHandler source: jrt:/java.base
[0.221s][info][class,load] java.lang.ThreadGroup source: jrt:/java.base
[0.222s][info][class,load] java.util.Map source: jrt:/java.base
[0.222s][info][class,load] java.util.Dictionary source: jrt:/java.base
[0.222s][info][class,load] java.util.Hashtable source: jrt:/java.base
[0.222s][info][class,load] java.util.Properties source: jrt:/java.base
[0.223s][info][class,load] java.lang.Module source: jrt:/java.base
[0.223s][info][class,load] java.lang.reflect.AccessibleObject source: jrt:/java.base
[0.223s][info][class,load] java.lang.reflect.Member source: jrt:/java.base
[0.224s][info][class,load] java.lang.reflect.Field source: jrt:/java.base
[0.224s][info][class,load] java.lang.reflect.Parameter source: jrt:/java.base
[0.224s][info][class,load] java.lang.reflect.Executable source: jrt:/java.base
[0.224s][info][class,load] java.lang.reflect.Method source: jrt:/java.base
[0.224s][info][class,load] java.lang.reflect.Constructor source: jrt:/java.base
[0.224s][info][class,load] jdk.internal.reflect.MagicAccessorImpl source: jrt:/java.base
[0.224s][info][class,load] jdk.internal.reflect.MethodAccessor source: jrt:/java.base
[0.224s][info][class,load] jdk.internal.reflect.MethodAccessorImpl source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.ConstructorAccessor source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.ConstructorAccessorImpl source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.DelegatingClassLoader source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.ConstantPool source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.FieldAccessor source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.FieldAccessorImpl source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.UnsafeFieldAccessorImpl source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.UnsafeStaticFieldAccessorImpl source: jrt:/java.base
[0.225s][info][class,load] java.lang.annotation.Annotation source: jrt:/java.base
[0.225s][info][class,load] jdk.internal.reflect.CallerSensitive source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.MethodHandle source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.DirectMethodHandle source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.VarHandle source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.MemberName source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.ResolvedMethodName source: jrt:/java.base
[0.226s][info][class,load] java.lang.invoke.MethodHandleNatives source: jrt:/java.base
[0.227s][info][class,load] java.lang.invoke.LambdaForm source: jrt:/java.base
[0.227s][info][class,load] java.lang.invoke.MethodType source: jrt:/java.base
[0.227s][info][class,load] java.lang.BootstrapMethodError source: jrt:/java.base
[0.227s][info][class,load] java.lang.invoke.CallSite source: jrt:/java.base
[0.227s][info][class,load] java.lang.invoke.MethodHandleNatives$CallSiteContext source: jrt:/java.base
[0.227s][info][class,load] java.lang.invoke.ConstantCallSite source: jrt:/java.base
[0.228s][info][class,load] java.lang.invoke.MutableCallSite source: jrt:/java.base
[0.228s][info][class,load] java.lang.invoke.VolatileCallSite source: jrt:/java.base
[0.228s][info][class,load] java.lang.AssertionStatusDirectives source: jrt:/java.base
[0.228s][info][class,load] java.lang.Appendable source: jrt:/java.base
[0.228s][info][class,load] java.lang.AbstractStringBuilder source: jrt:/java.base
[0.228s][info][class,load] java.lang.StringBuffer source: jrt:/java.base
[0.228s][info][class,load] java.lang.StringBuilder source: jrt:/java.base
[0.230s][info][class,load] jdk.internal.misc.Unsafe source: jrt:/java.base
[0.230s][info][class,load] jdk.internal.module.Modules source: jrt:/java.base
[0.230s][info][class,load] java.lang.AutoCloseable source: jrt:/java.base
[0.230s][info][class,load] java.io.Closeable source: jrt:/java.base
[0.230s][info][class,load] java.io.InputStream source: jrt:/java.base
[0.230s][info][class,load] java.io.ByteArrayInputStream source: jrt:/java.base
[0.231s][info][class,load] java.net.URL source: jrt:/java.base
[0.231s][info][class,load] java.util.jar.Manifest source: jrt:/java.base
[0.231s][info][class,load] jdk.internal.loader.ClassLoaders source: jrt:/java.base
[0.231s][info][class,load] jdk.internal.loader.BuiltinClassLoader source: jrt:/java.base
[0.231s][info][class,load] jdk.internal.loader.ClassLoaders$AppClassLoader source: jrt:/java.base
[0.231s][info][class,load] jdk.internal.loader.ClassLoaders$PlatformClassLoader source: jrt:/java.base
[0.232s][info][class,load] java.security.CodeSource source: jrt:/java.base
[0.232s][info][class,load] java.lang.StackTraceElement source: jrt:/java.base
[0.232s][info][class,load] java.nio.Buffer source: jrt:/java.base
[0.232s][info][class,load] java.lang.StackWalker source: jrt:/java.base
[0.232s][info][class,load] java.lang.StackStreamFactory$AbstractStackWalker source: jrt:/java.base
[0.232s][info][class,load] java.lang.StackWalker$StackFrame source: jrt:/java.base
